MAINTENANCE_ID,ASSET_ID,MAINTENANCE_DATE,MAINTENANCE_TYPE,DESCRIPTION,TECHNICIAN,COST_USD,DOWNTIME_HOURS,OUTCOME
WO-202507-D4B756A9,T-SS037-001,2025-07-14,REPAIR,Corrective maintenance to address identified issues,TECH-762,17818.42,23.17,SUCCESS
WO-202507-16E0B06F,T-SS080-001,2025-07-14,INSPECTION,Routine inspection and oil sampling,TECH-780,1964.02,0.21,SUCCESS
WO-202507-9289F493,T-SS030-001,2025-07-14,REPAIR,Corrective maintenance to address identified issues,TECH-483,45496.55,23.42,SUCCESS
WO-202507-3FD29A0D,T-SS012-001,2025-07-15,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-129,10026.36,7.04,SUCCESS
WO-202507-5C84CD44,T-SS043-001,2025-07-15,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-712,11665.9,7.86,SUCCESS
WO-202507-96D91109,T-SS087-001,2025-07-17,REPLACEMENT,Component replacement,TECH-409,72670.74,67.76,SUCCESS
WO-202507-D3E8582D,T-SS065-001,2025-07-18,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-233,13461.19,5.96,SUCCESS
WO-202507-9E9A9A8A,T-SS088-001,2025-07-18,REPAIR,Corrective maintenance to address identified issues,TECH-824,34751.54,17.39,SUCCESS
WO-202507-F3C6D980,T-SS044-001,2025-07-18,REPAIR,Corrective maintenance to address identified issues,TECH-462,32463.59,20.36,SUCCESS
WO-202507-D45BEF53,T-SS013-001,2025-07-20,REPAIR,Corrective maintenance to address identified issues,TECH-165,37106.37,23.66,SUCCESS
WO-202507-B8D96232,T-SS007-001,2025-07-23,INSPECTION,Routine inspection and oil sampling,TECH-650,629.44,0.28,SUCCESS
WO-202507-97C40183,T-SS050-001,2025-07-23,INSPECTION,Routine inspection and oil sampling,TECH-146,1239.86,0.42,SUCCESS
WO-202507-EFCD2346,T-SS006-001,2025-07-23,INSPECTION,Routine inspection and oil sampling,TECH-780,703.56,0.21,SUCCESS
WO-202507-1FDB2911,T-SS083-001,2025-07-24,INSPECTION,Routine inspection and oil sampling,TECH-974,1753.04,0.18,PARTIAL
WO-202507-6FC909D1,T-SS026-001,2025-07-25,REPLACEMENT,Component replacement,TECH-458,115097.06,57.43,SUCCESS
WO-202507-B99297B0,T-SS056-001,2025-07-25,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-764,5140.67,6.45,SUCCESS
WO-202507-80E3B145,T-SS074-001,2025-07-26,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-377,9397.78,2.9,SUCCESS
WO-202507-E9A27AA0,T-SS000-001,2025-07-26,INSPECTION,Routine inspection and oil sampling,TECH-238,1568.34,0.09,SUCCESS
WO-202507-7DD6BFCF,T-SS002-001,2025-07-27,INSPECTION,Routine inspection and oil sampling,TECH-470,1335.83,0.16,PARTIAL
WO-202507-FA0FFE12,T-SS042-001,2025-07-28,INSPECTION,Routine inspection and oil sampling,TECH-335,1084.94,0.32,SUCCESS
WO-202507-5660860E,T-SS048-001,2025-07-28,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-730,6694.94,4.65,SUCCESS
WO-202507-2CAEEEA8,T-SS069-001,2025-07-29,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-971,13658.36,2.14,SUCCESS
WO-202507-F5E21DA8,T-SS056-001,2025-07-29,INSPECTION,Routine inspection and oil sampling,TECH-743,1153.15,0.34,SUCCESS
WO-202507-1BB09B85,T-SS064-001,2025-07-30,INSPECTION,Routine inspection and oil sampling,TECH-525,1333.11,0.42,SUCCESS
WO-202507-6D309558,T-SS047-001,2025-07-30,INSPECTION,Routine inspection and oil sampling,TECH-600,1703.1,0.24,SUCCESS
WO-202508-40A1CA83,T-SS036-001,2025-08-01,INSPECTION,Routine inspection and oil sampling,TECH-470,1037.57,0.2,SUCCESS
WO-202508-A4C76F20,T-SS089-001,2025-08-04,REPLACEMENT,Component replacement,TECH-937,126795.54,42.76,SUCCESS
WO-202508-C598AFED,T-SS092-001,2025-08-06,INSPECTION,Routine inspection and oil sampling,TECH-478,675.95,0.14,SUCCESS
WO-202508-CA543064,T-SS041-001,2025-08-07,INSPECTION,Routine inspection and oil sampling,TECH-974,1056.56,0.22,SUCCESS
WO-202508-9AEDBE31,T-SS077-001,2025-08-10,REPLACEMENT,Component replacement,TECH-743,109451.03,61.09,SUCCESS
WO-202508-E4880852,T-SS050-001,2025-08-14,INSPECTION,Routine inspection and oil sampling,TECH-160,764.66,0.29,SUCCESS
WO-202508-4FD55520,T-SS091-001,2025-08-16,REPAIR,Corrective maintenance to address identified issues,TECH-672,24397.94,9.2,SUCCESS
WO-202508-43A63591,T-SS008-001,2025-08-16,INSPECTION,Routine inspection and oil sampling,TECH-931,1287.3,0.04,SUCCESS
WO-202508-FCBE4F47,T-SS020-001,2025-08-16,INSPECTION,Routine inspection and oil sampling,TECH-357,818.7,0.19,SUCCESS
WO-202508-163606C9,T-SS094-001,2025-08-18,INSPECTION,Routine inspection and oil sampling,TECH-417,1202.11,0.33,SUCCESS
WO-202508-9F8666CF,T-SS084-001,2025-08-22,INSPECTION,Routine inspection and oil sampling,TECH-984,582.0,0.33,SUCCESS
WO-202508-6304E5C7,T-SS081-001,2025-08-25,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-650,8290.03,2.7,SUCCESS
WO-202508-FBCC4ADF,T-SS034-001,2025-08-26,INSPECTION,Routine inspection and oil sampling,TECH-795,722.18,0.18,SUCCESS
WO-202508-EB0369E0,T-SS024-001,2025-08-28,INSPECTION,Routine inspection and oil sampling,TECH-763,616.66,0.15,SUCCESS
WO-202508-3F9F65FD,T-SS069-001,2025-08-29,INSPECTION,Routine inspection and oil sampling,TECH-191,857.12,0.16,PARTIAL
WO-202508-85DA0D67,T-SS076-001,2025-08-30,INSPECTION,Routine inspection and oil sampling,TECH-242,1466.36,0.24,PARTIAL
WO-202508-848D98A1,T-SS006-001,2025-08-31,REPAIR,Corrective maintenance to address identified issues,TECH-701,47114.83,21.47,SUCCESS
WO-202508-92A581A2,T-SS078-001,2025-08-31,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-459,12078.86,6.55,PARTIAL
WO-202509-E5423FC4,T-SS010-001,2025-09-01,REPLACEMENT,Component replacement,TECH-849,90535.11,25.31,SUCCESS
WO-202509-97EE0E6E,T-SS089-001,2025-09-03,REPLACEMENT,Component replacement,TECH-491,131482.09,42.6,SUCCESS
WO-202509-C34A560E,T-SS095-001,2025-09-03,INSPECTION,Routine inspection and oil sampling,TECH-317,1937.73,0.08,SUCCESS
WO-202509-F930ADB5,T-SS064-001,2025-09-03,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-593,7174.42,7.38,SUCCESS
WO-202509-0A4D2B73,T-SS086-001,2025-09-04,REPLACEMENT,Component replacement,TECH-462,79598.07,34.61,PARTIAL
WO-202509-0551441A,T-SS082-001,2025-09-04,INSPECTION,Routine inspection and oil sampling,TECH-950,1253.86,0.33,SUCCESS
WO-202509-1CB7C345,T-SS075-001,2025-09-04,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-367,9932.68,5.86,SUCCESS
WO-202509-6CB15944,T-SS038-001,2025-09-06,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-207,8118.34,7.82,SUCCESS
WO-202509-CE9D7815,T-SS081-001,2025-09-06,INSPECTION,Routine inspection and oil sampling,TECH-744,745.25,0.28,SUCCESS
WO-202509-690FF530,T-SS090-001,2025-09-07,INSPECTION,Routine inspection and oil sampling,TECH-780,543.07,0.46,SUCCESS
WO-202509-E98BB720,T-SS075-001,2025-09-08,INSPECTION,Routine inspection and oil sampling,TECH-156,1725.57,0.28,SUCCESS
WO-202509-8D25B2CF,T-SS051-001,2025-09-08,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-386,10329.2,7.99,SUCCESS
WO-202509-81B630A3,T-SS097-001,2025-09-09,INSPECTION,Routine inspection and oil sampling,TECH-287,818.68,0.49,SUCCESS
WO-202509-953CA5BE,T-SS096-001,2025-09-10,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-923,10990.54,7.21,SUCCESS
WO-202509-C659EE9C,T-SS057-001,2025-09-10,INSPECTION,Routine inspection and oil sampling,TECH-290,1766.48,0.38,SUCCESS
WO-202509-74854787,T-SS088-001,2025-09-12,REPAIR,Corrective maintenance to address identified issues,TECH-163,29516.09,11.01,SUCCESS
WO-202509-5DEFA18B,T-SS019-001,2025-09-13,INSPECTION,Routine inspection and oil sampling,TECH-123,1984.37,0.23,SUCCESS
WO-202509-A94CB5BC,T-SS095-001,2025-09-13,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-168,13591.38,3.74,PARTIAL
WO-202509-3A91CCE6,T-SS091-001,2025-09-14,INSPECTION,Routine inspection and oil sampling,TECH-987,762.33,0.02,SUCCESS
WO-202509-74493CC9,T-SS087-001,2025-09-14,INSPECTION,Routine inspection and oil sampling,TECH-807,712.86,0.27,PARTIAL
WO-202509-A08542A9,T-SS044-001,2025-09-15,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-415,10884.34,3.81,SUCCESS
WO-202509-749D8638,T-SS052-001,2025-09-15,INSPECTION,Routine inspection and oil sampling,TECH-239,667.22,0.12,SUCCESS
WO-202509-ADA2A3FD,T-SS066-001,2025-09-16,REPAIR,Corrective maintenance to address identified issues,TECH-985,20124.37,8.14,SUCCESS
WO-202509-C14B98DC,T-SS081-001,2025-09-18,INSPECTION,Routine inspection and oil sampling,TECH-452,1963.71,0.38,SUCCESS
WO-202509-DCE5DAF9,T-SS070-001,2025-09-20,INSPECTION,Routine inspection and oil sampling,TECH-191,1844.15,0.31,SUCCESS
WO-202509-95C23317,T-SS082-001,2025-09-20,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-400,9431.16,7.7,SUCCESS
WO-202509-2DE5AC5E,T-SS011-001,2025-09-23,REPAIR,Corrective maintenance to address identified issues,TECH-968,30814.86,12.53,SUCCESS
WO-202509-C6FD4ECA,T-SS094-001,2025-09-23,INSPECTION,Routine inspection and oil sampling,TECH-608,1125.47,0.12,PARTIAL
WO-202509-2939BD06,T-SS005-001,2025-09-23,INSPECTION,Routine inspection and oil sampling,TECH-990,1331.45,0.22,SUCCESS
WO-202509-8E503708,T-SS084-001,2025-09-23,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-531,5491.16,5.22,SUCCESS
WO-202509-CB558003,T-SS053-001,2025-09-24,REPAIR,Corrective maintenance to address identified issues,TECH-388,28365.51,12.63,PARTIAL
WO-202509-5E7BC256,T-SS005-001,2025-09-24,INSPECTION,Routine inspection and oil sampling,TECH-264,1077.33,0.34,SUCCESS
WO-202509-C2624549,T-SS085-001,2025-09-24,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-448,7294.69,2.95,SUCCESS
WO-202509-E04585C4,T-SS051-001,2025-09-25,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-907,8113.03,4.08,SUCCESS
WO-202509-8C44067F,T-SS071-001,2025-09-25,INSPECTION,Routine inspection and oil sampling,TECH-284,1722.92,0.46,SUCCESS
WO-202509-5788BBFB,T-SS021-001,2025-09-25,REPLACEMENT,Component replacement,TECH-653,149033.8,71.15,PARTIAL
WO-202509-3CAB7839,T-SS003-001,2025-09-26,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-401,6500.66,4.23,SUCCESS
WO-202509-08752B8F,T-SS039-001,2025-09-27,REPLACEMENT,Component replacement,TECH-752,84443.55,37.27,SUCCESS
WO-202509-49B2C2AD,T-SS009-001,2025-09-27,REPLACEMENT,Component replacement,TECH-833,58419.44,56.34,SUCCESS
WO-202509-A6DA19FF,T-SS051-001,2025-09-28,INSPECTION,Routine inspection and oil sampling,TECH-997,1086.3,0.33,SUCCESS
WO-202509-0225CD8B,T-SS074-001,2025-09-30,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-733,7279.94,2.11,SUCCESS
WO-202510-F2073C59,T-SS015-001,2025-10-03,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-401,7185.31,3.85,PARTIAL
WO-202510-856ABC41,T-SS094-001,2025-10-07,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-852,8688.65,3.43,SUCCESS
WO-202510-3746D8DB,T-SS004-001,2025-10-10,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-832,12555.66,3.22,SUCCESS
WO-202510-7D4B497A,T-SS057-001,2025-10-12,REPAIR,Corrective maintenance to address identified issues,TECH-568,27607.77,10.22,SUCCESS
WO-202510-4334366D,T-SS002-001,2025-10-12,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-245,12632.16,4.51,PARTIAL
WO-202510-CA0352AC,T-SS085-001,2025-10-14,REPLACEMENT,Component replacement,TECH-504,86302.67,48.45,SUCCESS
WO-202510-2F46F45C,T-SS032-001,2025-10-15,INSPECTION,Routine inspection and oil sampling,TECH-438,1703.45,0.25,SUCCESS
WO-202510-C97B39EF,T-SS033-001,2025-10-16,INSPECTION,Routine inspection and oil sampling,TECH-137,1178.76,0.44,SUCCESS
WO-202510-4BF141BF,T-SS055-001,2025-10-19,INSPECTION,Routine inspection and oil sampling,TECH-780,724.98,0.18,SUCCESS
WO-202510-9FF134A2,T-SS078-001,2025-10-21,INSPECTION,Routine inspection and oil sampling,TECH-462,1204.1,0.12,SUCCESS
WO-202510-3C36EB72,T-SS062-001,2025-10-21,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-389,9375.32,2.34,SUCCESS
WO-202510-5354427F,T-SS078-001,2025-10-22,INSPECTION,Routine inspection and oil sampling,TECH-822,1031.64,0.2,SUCCESS
WO-202510-16042F6B,T-SS008-001,2025-10-25,INSPECTION,Routine inspection and oil sampling,TECH-388,1754.43,0.2,PARTIAL
WO-202510-71C22CD3,T-SS040-001,2025-10-25,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-570,13449.89,6.22,SUCCESS
WO-202510-1B27F9ED,T-SS040-001,2025-10-26,REPAIR,Corrective maintenance to address identified issues,TECH-453,32462.4,18.61,SUCCESS
WO-202510-1251DBD2,T-SS059-001,2025-10-28,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-376,13631.69,2.3,SUCCESS
WO-202510-0EEED68C,T-SS075-001,2025-10-29,INSPECTION,Routine inspection and oil sampling,TECH-834,964.8,0.21,SUCCESS
WO-202510-28B8DC79,T-SS042-001,2025-10-29,INSPECTION,Routine inspection and oil sampling,TECH-318,941.15,0.47,SUCCESS
WO-202510-3597953A,T-SS079-001,2025-10-29,REPLACEMENT,Component replacement,TECH-501,58260.02,32.47,SUCCESS
WO-202510-75FE9C39,T-SS010-001,2025-10-30,REPAIR,Corrective maintenance to address identified issues,TECH-358,20011.51,23.46,SUCCESS
WO-202510-CFA2167D,T-SS034-001,2025-10-30,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-170,10871.31,5.51,SUCCESS
WO-202510-1ACE3053,T-SS092-001,2025-10-30,INSPECTION,Routine inspection and oil sampling,TECH-424,974.54,0.22,SUCCESS
WO-202511-9C217CF2,T-SS018-001,2025-11-01,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-718,6156.97,6.33,SUCCESS
WO-202511-BC18D1A1,T-SS059-001,2025-11-03,REPLACEMENT,Component replacement,TECH-915,120109.8,31.94,SUCCESS
WO-202511-E24BD2C7,T-SS070-001,2025-11-03,REPAIR,Corrective maintenance to address identified issues,TECH-988,44338.01,17.48,SUCCESS
WO-202511-92A51511,T-SS072-001,2025-11-04,INSPECTION,Routine inspection and oil sampling,TECH-271,640.0,0.28,SUCCESS
WO-202511-D4D623E9,T-SS014-001,2025-11-05,INSPECTION,Routine inspection and oil sampling,TECH-701,1590.6,0.38,SUCCESS
WO-202511-464E91FD,T-SS002-001,2025-11-08,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-924,10335.28,7.51,SUCCESS
WO-202511-E19E7F46,T-SS069-001,2025-11-08,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-616,11358.88,7.85,SUCCESS
WO-202511-A75D71B4,T-SS060-001,2025-11-08,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-520,14805.51,5.92,SUCCESS
WO-202511-BF0F2905,T-SS022-001,2025-11-08,INSPECTION,Routine inspection and oil sampling,TECH-484,1489.82,0.34,SUCCESS
WO-202511-2C089603,T-SS042-001,2025-11-09,INSPECTION,Routine inspection and oil sampling,TECH-286,1769.86,0.01,SUCCESS
WO-202511-97F03A33,T-SS092-001,2025-11-10,INSPECTION,Routine inspection and oil sampling,TECH-109,1970.27,0.37,SUCCESS
WO-202511-ED911828,T-SS003-001,2025-11-11,REPLACEMENT,Component replacement,TECH-818,66776.51,37.76,SUCCESS
WO-202511-EF464600,T-SS061-001,2025-11-11,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-528,10177.91,7.46,SUCCESS
WO-202511-AEEDAF8F,T-SS009-001,2025-11-11,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-186,10366.23,4.43,SUCCESS
WO-202511-170FD750,T-SS024-001,2025-11-11,INSPECTION,Routine inspection and oil sampling,TECH-460,1968.29,0.22,SUCCESS
WO-202511-6418AA8A,T-SS049-001,2025-11-12,INSPECTION,Routine inspection and oil sampling,TECH-382,1027.08,0.19,SUCCESS
WO-202511-8D5C8432,T-SS052-001,2025-11-13,INSPECTION,Routine inspection and oil sampling,TECH-241,559.05,0.11,SUCCESS
WO-202511-390E285B,T-SS068-001,2025-11-15,REPAIR,Corrective maintenance to address identified issues,TECH-499,23251.45,14.5,SUCCESS
WO-202511-C773C071,T-SS056-001,2025-11-15,INSPECTION,Routine inspection and oil sampling,TECH-640,1309.78,0.48,SUCCESS
WO-202511-887BD73E,T-SS073-001,2025-11-15,INSPECTION,Routine inspection and oil sampling,TECH-728,1726.26,0.24,SUCCESS
WO-202511-DF4D8869,T-SS035-001,2025-11-16,INSPECTION,Routine inspection and oil sampling,TECH-852,1039.72,0.4,PARTIAL
